id,solvent,d_d,d_p,d_h
442,"(Z,Z)-Photocitral A",16.4,4.9,3.3
443,"(Z+E)-2,5-Dimethyl-3-Tetrahydrofuran Thiol",17.1,4.8,4.8
444,(Z+E)-2-Methyl-2-(4-Methyl-3-Pentenyl) Cyclopropane Carbaldehyde,16.9,5.3,3.5
445,(Z+E)-5-Ethyl-4-Methyl-2-(2-Butyl) Thiazoline,16.5,4.9,1.5
446,(Z+E)-5-Ethyl-4-Methyl-2-(2-Methyl Propyl) Thiazoline,16.3,5.2,1.8
447,(Z+E)-Laevo-Mercapto-Para-Menthan-3-One,17.9,6.4,3.4
448,(Z+E)-Para-1(7)8-Menthadien-2-Yl Acetate,16.7,2.8,4.1
449,"[1 Alpha(S*), 3 Alpha]-(+-)-3-(2,2-Dichloroethenyl)-2,2-Dime",18.9,5.3,3.1
450,"[1,1 -Biphenyl]-4-ol, 3,5-Bis(1,1-Dimethylethyl)-",17.4,0.9,3.5
451,"[1R-[1 Alpha(S*),3 Alpha]]Cyano(3-Phenoxyphenyl)Methyl Ester",18.5,5.8,4.6
452,[3-(Mercapto)Propyl]Triethoxysilane,15.2,3.9,3.8
453,"<1,4>Dioxane-2,5-Dione",18.1,20.4,9.4
454,"1 ,2 ,4A-1,2,4-Trimethylcyclopentane",15.9,0,0
455,"1 ,2A,4 -1,2,4-Trimethylcyclopentane",15.9,0,0
456,"1 ,2A,4A-1,2,4-Trimethylcyclohexane",16.1,0,0
457,1-((4-Aminophenyl)Azo)-2-Naphthol,18.3,6.3,11.4
458,"1-(1,1-Difluoro-Ethoxy)-1,1,2,2,3,3,3-Heptafluoropropane",13,3,2.4
459,1-(2-(2-Methoxyethoxy)Ethoxy)Butane,15.8,4.7,5.1
460,"1-(2,2,2-Trifluoroethoxy)-2-Trifluoromethoxy-1,1,2-Trifluoroethane",13.5,4.7,3.1
461,"1-(2,2,3,3,3-Pentafluoropropoxy)-2-Trifluoromethoxy-1,1,2-Trifluoroethane",13,3.9,2.5
462,"1-(2',5'-Dichloro-4'-Sulfophenyl)-3-Methyl-5-Pyr",20.9,14.3,15.6
463,1-(2-Furfuryl Thio) Propanone,18.6,7.7,6.1
464,1-(2-Thienyl) Butanone,18.6,6,5.3
465,1-(2'-Thienyl) Ethyl Mercaptan,19,4.1,6.7
466,1-(3-Hydroxy-5-Methyl-2-Thienyl) Ethanone,19.2,8,11.5
467,1(3-Methylphenyl)Ethanol,18.3,4.8,9.6
468,1-(4-Ethylphenyl)-2-(4-Ethylphenyl)Ethane,18.5,2.4,2.4
469,1-(4-Ethylphenyl)-2-Phenylethane,18.5,2.2,2.7
470,1-(5-Methyl-2-Furyl) Propan-1-One,17.4,7.5,4.5
471,1-(Methyl Thio) Ethane Thiol,18,5.7,5.8
472,1-(Methyl Thio)-2-Butanone,17.5,7.6,5.3
473,1-(Methyl Thio)-3-Pentanone,17.4,7.1,4.9
474,1-(Phenylazo)-2-Naphthalenol,17.6,4.6,8
475,1(p-Toluenesulphonyl)Imidazole,20.4,15.1,7.3
476,1-(Trifluoromethyl)-3-Vinyl-Benzene,16.7,2.5,1.9
477,1-(Vinylo Xy)Octane,15.7,2.9,3
478,"1,1'-(Methylenedi-4,1-Phenylene)Bismaleimide",21.3,3.2,6.2
479,"1,1,1,2,2,3,3,4,4,5,5,6,6-Tridecafluoro-8-Iodooctane",14.2,2.1,1.5
480,"1,1,1,2,2,3,3,4,4-Nonafluorohexane",13,1.8,1.4
481,"1,1,1,2,2,3,3-Heptafluoro-Pentane",12.9,2.1,1.6
482,"1,1,1,2,2,3,3-Heptafluoropropane(F-227Ca)",12.6,3.4,2
483,"1,1,1,2,2,3-Hexafluoropropane",13,4.5,1.8
484,"1,1,1,2,2-Pentafluoro-3-(2,2,3,3,3-Pentafluoro-Propoxymethoxy)-Propane",13.2,3.8,2.6
485,"1,1,1,2,2-Pentafluorobutane(S)",12.8,2.5,1.9
486,"1,1,1,2,2-Pentafluoropentane",13.2,2,1.5
487,"1,1,1,2,2-Pentafluoropropane",12.4,2.7,2.1
488,"1,1,1,2,3,3,3-Heptafluoropropane(F-227Ea)",12.9,3.1,1.7
489,"1,1,1,2,3,3-Hexafluoropropane",13.7,3.8,2.4
490,"1,1,1,2,3-Pentafluoropropane",14.1,5,2.2
491,"1,1,1,2-Tetrabromoethane",20.6,6,4.4
492,"1,1,1,2-Tetrachloro-2,2-Difluoroethane",15.7,1.5,1.1
493,"1,1,1,2-Tetrachloro-2-Fluoroethane",16.3,3.4,2
494,"1,1,1,2-Tetrachloroethane",18,4.4,4.2
495,"1,1,1,2-Tetrachloropropane",17.3,2.9,1.9
496,"1,1,1,2-Tetrafluoro-2-Chloro-2-Bromoethane",15.6,5,2.9
497,"1,1,1,2-Tetrafluoropropane",13.6,3.2,2.6
498,"1,1,1,3,3,3-Hexafluoro Isopropyl Acrylate",14.1,4.1,3.8
499,"1,1,1,3,3,3-Hexafluoro-2-(1,1,2-Trifluoro-2-Trifluoromethoxyethoxy)Propane",12.5,3.9,1.9
500,"1,1,1,3,3,3-Hexafluoro-2-(2,2,2-Trifluoro-1-Trifluoromethylethoxymethoxy)Propane",13,3.8,1.4
501,"1,1,1,3,3,3-Hexafluoro-2-(Difluoromethoxy)Propane",13.3,4.4,2.3
502,"1,1,1,3,3,3-Hexafluoro-2-(Trifluoromethyl)Propane",12.4,2.6,0.7
503,"1,1,1,3,3,3-Hexafluoroisopropyl Methacrylate",14.1,3.7,3.2
504,"1,1,1,3,3,3-Hexafluoropropane",13.5,3.5,2.1
505,"1,1,1,3,3,4,4,4-Octafluorobutan-2-ol",13.1,4.6,9.1
506,"1,1,1,3,3-Pentafluoro-3-Bromopropane",15.2,4.1,3.1
507,"1,1,1,3-Tetrachloropropane",17.7,4.3,2.8
508,"1,1,1,3-Tetrachlorotetrafluoropropane (F-214Cb)",15.5,1.2,1
509,"1,1,1,3-Tetrafluoropropane",14.6,5.6,2.6
510,"1,1,1,4,4,4-Hexafluoro-Butane",13.2,3.1,2
511,"1,1,1,5,5,5-Hexafluoro-2,4-Pentanedione",15.1,9.3,4.5
512,"1,1,1,5,5,6,6,6-Octafluoro-2,4-Hexanedione",14.3,7.5,3.7
513,"1,1,1,5,5,6,6,7,7,7-Decafluoro-2,4-Heptanedione",14.1,6.4,3.4
514,"1,1,1^Trichloropentafluoropropane",14.7,1.6,1.1
515,"1,1,11-Trihydroperfluoro_Undecanol",12.2,3.4,5.6
516,"1,1,1-Tribromo-2-Methylpropane",18.4,3.8,2.6
517,"1,1,1-Tribromobutane",18.7,4,2.9
518,"1,1,1-Tribromoethane",19.2,4.9,3.8
519,"1,1,1-Tribromoheptane",18.3,3.4,2.8
520,"1,1,1-Tribromooctane",18.1,3.4,2.6
521,"1,1,1-Tribromopropane",18.9,4.6,3.4
522,"1,1,1-Trichloro-2,2,2-Trifluoroethane",15.6,2.5,1.6
523,"1,1,1-Trichloro-2,2-Difluoroethane",16.4,3.1,2.3
524,"1,1,1-Trichloro-2,2-Difluoroethane (F-122B)",16.4,3.1,2.3
525,"1,1,1-Trichloro-2-Fluoroethane",17,4.3,2.1
526,"1,1,1-Trichloro-2-Methylpropane",16.3,1.5,1.4
527,"1,1,1-Trichlorobutane",16.6,1.7,1.8
528,"1,1,1-Trichlorodecane",16.9,1.1,1.5
529,"1,1,1-Trichloroethane",16.8,4.3,2
530,"1,1,1-Trichloroheptane",16.8,1.4,1.8
531,"1,1,1-Trichlorohexane",16.8,1.5,1.9
532,"1,1,1-Trichlorooctane",16.8,1.4,1.7
533,"1,1,1-Trichloropentane",16.6,1.6,1.9
534,"1,1,1-Trichloropropane",16.5,2.2,2.1
535,"1,1,1-Trichlorotrifluoroacetone ",16.5,5.8,3
536,"1,1,1-Trifluoro-2,2-Dibromoethane",16.7,5.2,4.5
537,"1,1,1-Trifluoro-2,2-Dichloropropane",15.2,4.6,2.8
538,"1,1,1-Trifluoro-2,2-Dimethyoxyethane",14.4,5.8,4.4
539,"1,1,1-Trifluoro-2,4-Pentane Dione",16,10.1,5.4
540,"1,1,1-Trifluoro-2-Bromopropane",15.3,4,3.4
541,"1,1,1-Trifluoro-2-Butanone",14.8,7.3,4
542,"1,1,1-Trifluoro-2-Methylpropan-2-ol",14.6,5.2,8.9
543,"1,1,1-Trifluoro-2-Methylpropane",13.5,2.8,1.7
544,"1,1,1-Trifluoro-3-Methylbutane",13.7,2.3,1.8
545,"1,1,1-Trifluoroacetone",14.8,8.2,4.5
546,"1,1,1-Trifluorobutane",13.8,2.9,2.2
547,"1,1,1-Trifluorodecane",14.9,1.9,1.8
548,"1,1,1-Trifluorododecane",14.9,1.8,1.5
549,"1,1,1-Trifluoroethane",14.6,10,0
550,"1,1,1-Trifluoroheptane",14.4,2.4,2.2
551,"1,1,1-Trifluorohexane",14.5,2.6,2.3
552,"1,1,1-Trifluorooctane",14.5,2.4,2
553,"1,1,1-Trifluoropentane",14.1,2.8,2.3
554,"1,1,1-Trifluoro-Propan-2-ol",14.8,6.3,12.8
555,"1,1,1-Trifluoropropane",13.6,3.6,2.6
556,"1,1,2,2,- Tetrafluoroethyl Allyl Ether",14.9,4.7,4.6
557,"1,1,2,2,2-Pentafluoroethyl  Ethyl  Ether",13.2,3.8,2.9
558,"1,1,2,2,2-Pentafluoroethyl 1,1,2-Trifluoroethyl Ether",13.4,5,2.4
559,"1,1,2,2,2-Pentafluoroethyl 2,2,3,3,3-Pentafluoropropyl Ether",12.4,2.9,1.8
560,"1,1,2,2,2-Pentafluoroethyl 2,2,3,3-Tetrafluoropropyl Ether",13.3,3.9,3.1
561,"1,1,2,2,3,3,3-Heptafluoropropyl  Trifluoromethyl  Ether",12.4,3.5,2
562,"1,1,2,2,3,3,3-Heptafluoropropyl 2,2,3,3,3-Pentafluoropropyl Ether",12.5,2.6,1.6
563,"1,1,2,2,3,3,3-Heptafluoropropyl 2,2,3,3-Tetrafluoropropyl Ether",13.2,3.5,2.8
564,"1,1,2,2,3,3,4,4,5,5-Decafluoro-Cyclopentane",12.9,2.3,0.8
565,"1,1,2,2,3,3,4,4-Octafluoro-5-Methoxypentane",14.1,3.9,3.9
566,"1,1,2,2,3,3,4-Heptafluorocyclopentane",14.4,3.1,2.3
567,"1,1,2,2,3,3-Hexafluoropropane",14.4,4.7,3.8
568,"1,1,2,2,3,4-Hexafluorocyclobutane",15,3.6,3.4
569,"1,1,2,2,3-Pentafluoro-3,3-Dibromopropane",16.3,4.5,4.1
570,"1,1,2,2,3-Pentafluoropropane",14.9,5.9,3.6
571,"1,1,2,2-Tetrabromoethane",21,7,8.2
572,"1,1,2,2-Tetrachloro-1,2-Difluoroethane",16.2,0.9,0.9
573,"1,1,2,2-Tetrachloro-1-Fluoroethane",17,3.2,2.4
574,"1,1,2,2-Tetrachloropropane",17.9,6.7,3.3
575,"1,1,2,2-Tetrachlorotetrafluorocyclobutane(Fc-C-314)",16.2,1.5,0.9
576,"1,1,2,2-Tetrafluoro-1,2-Bis(2,2,2-Trifluoroethoxy)Ethane",13.8,4.7,3.1
577,"1,1,2,2-Tetrafluoro-1,2-Dinitroethane",16.2,19.4,5.5
578,"1,1,2,2-Tetrafluoro-1-Bromoethane",15.9,5.4,4.6
579,"1,1,2,2-Tetrafluoro-3-Bromopropane",16,5.1,4.7
580,"1,1,2,2-Tetrafluoroethane",14.6,5.7,3.6
581,"1,1,2,2-Tetrafluoroethyl  2,2,2-Trifluoroethyl  Ether Ae-3000",14,4.9,3.9
582,"1,1,2,2-Tetrafluoroethyl  Difluoromethy Ether",14.5,6,4.7
583,"1,1,2,2-Tetrafluoroethyl  Fluoromethyl  Ether",15,7.3,4.6
584,"1,1,2,2-Tetrafluoroethyl  Methyl  Ether",14.7,5.6,5.1
585,"1,1,2,2-Tetrafluoroethyl  Trifluoromethyl  Ether",13.7,5.2,4
586,"1,1,2,2-Tetrafluoropropane",14.4,4,4
587,"1,1,2,2-Tetraphenylethane",19,0.6,2.1
588,"1,1,2,2-Tetraphenylethane-1,2-Diol",19.1,2.3,5.3
589,"1,1,2,3,3,3-Hexafluoropropyl  Methyl  Ether",13.8,4,3.3
590,"1,1,2,3,3-Pentafluoropropane",14.5,4.5,3.2
591,"1,1,2,3-Tetrafluoropropane",15.1,5.8,2.9
592,"1,1,2-Tribromo Ethylene",18.3,9.4,8
593,"1,1,2-Tribromobutane",18.8,4.8,6.3
594,"1,1,2-Tribromoethane",19.8,6.5,6.6
595,"1,1,2-Tribromopropane",19.2,5.4,6.9
596,"1,1,2-Trichloro Propene",17.7,15.7,3.4
597,"1,1,2-Trichloro-1,2-Difluoroethane",15.3,3.3,1.8
598,"1,1,2-Trichloro-1-Fluoroethane",16.6,4.6,2.7
599,"1,1,2-Trichloro-2,3,3-Trifluorocyclobutane",15.9,1.9,1.4
600,"1,1,2-Trichloro-2-Fluoroethane",16.1,5.8,3.4
601,"1,1,2-Trichloro-2-Methylpropane",17.1,4.5,2.3
602,"1,1,2-Trichloro-3,3,3-Trifluoropentene(F-1213Xa)",16.2,4.6,1.3
603,"1,1,2-Trichloropropane",17.2,5.2,3.2
604,"1,1,2-Trichlorotrifluoroethane (Freon113)",14.7,1.6,0
605,"1,1,2-Trifluoro-1-Chloro-2-Bromoethane",15.3,3.4,2.7
606,"1,1,2-Trifluoro-2-Chloroethyl 2,2,2-Trifluoroethyl Ether",14,5.1,3
607,"1,1,2-Trifluoro-2-Trifluoromethoxy-1-Methoxyethane",13.9,5.2,4.1
608,"1,1,2-Trifluorobutane",14.6,3.5,3
609,"1,1,2-Trifluoroethane",15.2,7.2,3.4
610,"1,1,2-Trifluoroethyl  2,2,2-Trifluoroethyl  Ether",14.4,5.9,3.1
611,"1,1,2-Trifluoroethyl  Difluoromethyl  Ether",15,7.1,3.9
612,"1,1,2-Trifluoroethyl  Methyl  Ether",15.2,6.8,4.3
613,"1,1,2-Trifluoropropane",14.5,3.9,3.4
614,"1,1,2-Trimethylcyclohexane",15.6,0,0
615,"1,1,2-Trimethylcyclopentane",15.5,0,0
616,"1,1,2-Trimethylcyclopropane",15.2,0,0
617,"1,1,2-Triphenylethane",19,1.2,2.5
618,"1,1,3,3,5-Pentamethylindan    (Liquid)",17.2,1.1,0.7
619,"1,1,3,3-Tetrachlorodifluoroacetone",17.1,4.2,2.3
620,"1,1,3,3-Tetrafluoropropane",14.7,5.1,3.6
621,"1,1,3,3-Tetramethoxypropane",15,7.1,6.8
622,"1,1,3,3-Tetramethylcyclopentane",15.4,0,0
623,"1,1,3,4-Tetrachlorohexafluorobutane(F-316Lbc)",15,1.2,0.4
624,"1,1,3,5,6-Pentachlorononafluorohexane",15,1.1,0
625,"1,1,3-Tribromopropane",19.4,5.9,6.1
626,"1,1,3-Trichloro-2-Methylpropane",17.6,5.6,3.4
627,"1,1,3-Trichlorobutane",17.3,4.6,3.1
628,"1,1,3-Trichloropropane",17.6,6.7,4.2
629,"1,1,3-Trifluoro-2-Methylpropane",15.1,5.2,2.6
630,"1,1,3-Trifluorobutane",14.8,3.3,3.3
631,"1,1,3-Trifluoropropane",15.3,6.5,3.4
632,"1,1,3-Trimethylcyclohexane",15.8,0,0
633,"1,1,3-Trimethylcyclopentane",15.8,0,0
634,"1,1,4-Trichlorobutane",17.5,6.1,3.9
635,"1,1,4-Trifluorobutane",15.4,5.8,3.2
636,"1,1,4-Trimethylcyclohexane",15.9,0,0
637,"1,1,Cis-3,Cis-4-Tetramethylcyclopentane",15.6,0,0
638,"1,10-Decanediol",16.4,6.5,14.7
639,"1,10-Phenanthroline",20.7,7,5.4
640,"1,11-Undecanediol",16.3,6.3,13.8
641,"1,12-Dodecanediol",16.3,5.8,14
642,"1,1'-Biphenyl, 2,2'-Dinitro-",20.4,7.6,4.3
643,"1,1'-Biphenyl, 4-Pentyl-",18.4,2.1,2.6
644,"1,1-Bis(4-Hydroxyphenyl)-Cyclohexane",20,5.2,9.3
645,"1,1-Bis-Difluoromethyl-1,2,2,2-Tetrafluoroethane",13.6,5.7,3.6
646,"1,1-Cyclopropanedicarboxylic Acid ",18.2,10.5,21.8
647,"1,1-Diallyloxyethane",15.4,5.1,4.8
648,"1,1-Dibromo-1-chlorotrifluoroethane(CFC-113aB2)",17.4,6.2,2.6
649,"1,1-Dibromo-2,2-Difluoroethylene(F-1112Ab2)",17.6,5.3,3.8
650,"1,1-Dibromo-2,2-Dimethylpropane",16.9,3.4,3.4
651,"1,1-Dibromo-3,3,3-Trifluoroacetone",17.4,8.6,5.6
652,"1,1-Dibromobutane",17.8,4.3,4.4
653,"1,1-Dibromoethane",18.5,8.4,8.8
654,"1,1-Dibromoethylene",16.2,4.8,7
655,"1,1-Dibromopropane",17.9,5,5
656,"1,1-Dichloro-1-(Difluoromethoxy)-2,2,2-Trifluoroethane",15.3,6.4,3.5
657,"1,1-Dichloro-1,2,2,2-Tetrafluoroethane",14.6,2.3,1.5
658,"1,1-Dichloro-1,2,2-Trifluoroethane",15.4,3,2.1
659,"1,1-Dichloro-1,2-Difluoroethane",16,4.2,1.9
660,"1,1-Dichloro-1-Nitroethane",16.8,12.1,4.3
661,"1,1-Dichloro-2-(Difluoromethoxy)-1,2,2-Trifluoroethane",15.3,3.7,2.8
662,"1,1-Dichloro-2,2-Difluoroethane",16.3,5.6,3.8
663,"1,1-Dichloro-2-Fluoroethane",17,7,3.7
664,"1,1-Dichloro-2-Methylpropane",16.1,3.6,2.7
665,"1,1-Dichloro-3-Methylbutane",16.1,3.2,2.6
666,"1,1-Dichloroacetone",17.1,7.6,5.4
667,"1,1-Dichlorobutane",16.4,3.8,3.1
668,"1,1-Dichlorocyclohexane",17.3,1.9,2.5
669,"1,1-Dichloroethane",16.5,7.8,3
670,"1,1-Dichloroethylene",16.4,5.2,2.4
671,"1,1-Dichloroheptane",16.6,3.2,2.9
672,"1,1-Dichlorohexane",16.6,3.4,3.1
673,"1,1-Dichlorononane",16.6,2.7,2.4
674,"1,1-Dichlorooctane",16.6,3.1,2.7
675,"1,1-Dichloropentane",16.4,3.6,3.1
676,"1,1-Dichloropropane",16.1,7.8,3.5
677,"1,1-Dichloropropene",16.9,6.7,2.9
678,"1,1-Dicyclohexylethane",16.9,0,0
679,"1,1-Dicyclohexylheptane",16.7,0,0
680,"1,1-Dicyclohexyltetradecane",16.6,0,0
681,"1,1-Diethoxy Butane",15.4,4.9,4.6
682,"1,1-Diethoxy Ethane",15,3.4,4
683,"1,1-Diethylcyclohexane",16.2,0,0
684,"1,1-Diethylcyclopentane",16,0,0
685,"1,1-Difluoro-1-(2,2,3,3,5,5,6,6-Octafluoromorpholin-4-Yl)Acetone",13.1,5.4,4.1
686,"1,1-Difluoro-1,2-Dichloro-2-Bromoethane",16.3,4.5,2.4
687,"1,1-Difluoro-1,2-Dichloropropane",14.8,3.2,1.7
688,"1,1-Difluoro-1-Bromo-2-Chloroethane",17.2,7,4.4
689,"1,1-Difluoro-1-Chloro-2-Bromoethane",15.6,4,3.2
690,"1,1-Difluoro-2,2-Dimethylpropane",13.9,2.7,1.9
691,"1,1-Difluoro-2-Methylbutane",14.6,2.6,2
692,"1,1-Difluoro-2-Methylpropane",14.4,3.4,2.4
693,"1,1-Difluoro-3-Methylbutane",14.5,2.9,2.4
694,"1,1-Difluoro-Acetone",15.9,9.3,5.4
695,"1,1-Difluorobutane",14.7,3.6,2.9
696,"1,1-Difluorodecane",15.4,2.3,2.2
697,"1,1-Difluorododecane",15.4,2.2,1.9
698,"1,1-Difluoroethane",14.9,9.3,2.9
699,"1,1-Difluoroethyl-1,1,2,2-Tetrafluoroethyl Ether",14.3,4.5,4.3
700,"1,1-Difluoroethylene",15,5.7,3.6
701,"1,1-Difluoroheptane",15.1,2.9,2.7
702,"1,1-Difluorohexane",15,3.2,2.9
703,"1,1-Difluorononane",15.3,2.4,2.2
704,"1,1-Difluorooctane",15.2,2.9,2.5
705,"1,1-Difluoropentane",14.9,3.4,2.9
706,"1,1-Difluoropropane",14.6,4.5,3.4
707,"1,1-Difluorotetradecane",15.5,1.8,1.8
708,"1,1-Difluorotridecane",15.5,1.9,1.7
709,"1,1-Difluoroundecane",15.4,2.2,2.1
710,"1,1-Dimethoxy Ethane",15.1,4.9,4.9
711,"1,1-Dimethyl-2-Ethylcyclopentane",15.5,0,0
712,"1,1-Dimethyl-3-M-Chlorophenylurea",20.3,10.9,9
713,"1,1-Dimethyl-3-p-Tolylurea",19.7,10.5,10.6
714,"1,1-Dimethylcyclobutane",15.4,0,0
715,"1,1-Dimethylcyclohexane",15.9,0,0
716,"1,1-Dimethylcyclopentane",15.5,0,0
717,"1,1-Dimethylcyclopropane",15.3,0,0
718,"1,1-Dimethylpropyl Butanoate",15.4,2.9,3.4
719,"1,1-Dimethylpropyl Formate",15.2,4.8,4.9
720,"1,1-Dimethylpropylamine",15.1,3.4,5.8
721,"1,1-Dinitropropane",17,19.2,5.2
722,"1,1-Diphenyl-1-Heptene",18.1,1.4,2.3
723,"1,1-Diphenyl-1-Propene",18.9,1.8,2.9
724,"1,1-Diphenylbutane",18.1,1.1,2.1
725,"1,1-Diphenyldodecane",17.1,0.9,1.7
726,"1,1-Diphenylethane",18.7,1.6,2.7
727,"1,1-Diphenylethene",18.8,1.8,2.7
728,"1,1-Diphenylheptane",17.7,1.1,2.1
729,"1,1-Diphenylhexane",17.9,1.2,2.2
730,"1,1-Diphenylpentane",18,1.2,2.2
731,"1,1-Diphenylpropane",18.4,1.4,2.4
732,"1,1-Ethane Dithiol 1% In Ethanol",17.5,6.9,7.4
733,"1,1'-Methylenebis(Isocyanatobenzene)",19.7,6.6,5
734,"1,1'-Oxybis[3,4-Dichlorobenzene]",21.2,6.1,4.1
735,"1,2,2,2-Tetrafluoroethyl  Difluoromethyl  Ether",13.9,5.1,3.4
736,"1,2,2,2-Tetrafluoroethyl  Trifluoromethyl  Ether",13.1,4.4,2.7
737,"1,2,2,3-Tetrafluoro-1,1-Dichloropropane",15.6,3.5,1.6
738,"1,2,2,3-Tetrafluoro-1,3-Dichloropropane",14.1,5.1,2.5
739,"1,2,2,3-Tetrafluoropropane",15.4,7.2,2.7
740,"1,2,2-Tribromo-1,1-Difluoroethane(Halon 2202)",18.8,5.8,5.8
741,"1,2,2-Tribromobutane",18.8,4.5,3.5
742,"1,2,2-Tribromopropane",19.1,4.6,3.8
743,"1,2,2-Trichloro-1,1-Difluoroethane",15.5,3.7,2.5
744,"1,2,2-Trichloro-3,3,3-Trifluoropropane ",16.2,6.7,3.1
745,"1,2,2-Trichloropentafluoropropane(Fc-215A)",14.6,3.6,1.5
746,"1,2,2-Trichloropropane",17.3,6.8,3.9
747,"1,2,2-Trifluoro-3,3-Dichloropropane",16.4,5.9,3.1
748,"1,2,2-Trifluorobutane",14.8,4.8,2.7
749,"1,2,2-Trifluoropropane",14.8,5.2,3
750,"1,2,2-Trifluorovinylbenzene",16.5,1.8,2.1
751,"1,2,3,4,5,6,7,8-Octachlorodibenzofuran",22,1.8,1.9
752,"1,2,3,4,5,6,7,8-Octachlorodibenzo-p-Dioxin",22.2,2.5,3.6
753,"1,2,3,4,5,6-Hexachlorocyclohexane",19.7,22.2,2.3
754,"1,2,3,4,6,7,8-Heptachlorodibenzofuran",22.3,3.3,2
755,"1,2,3,4,6,7,8-Heptachlorodibenzo-p-Dioxin",22.6,4,3.7
756,"1,2,3,4,6,7-Hexachlorodibenzofuran",21.6,2.8,2.4
757,"1,2,3,4,7,8-Hexachlorodibenzofuran",21.6,2.8,2.4
758,"1,2,3,4,7,8-Hexachlorodibenzo-p-Dioxin",21.8,3.4,4.1
759,"1,2,3,4-Butanetetrol",18.2,11.6,29.3
760,"1,2,3,4-Tetrachlorobenzene",19.9,4.5,3.2
761,"1,2,3,4-Tetrachlorodibenzo-p-Dioxin",21.3,3,4.4
762,"1,2,3,4-Tetrachlorohexafluorobutane",14.4,1.9,0.2
763,"1,2,3,4-Tetrachloronaphthalene",20.4,4.4,4
764,"1,2,3,4-Tetraethylbenzene",17,1,1.4
765,"1,2,3,4-Tetrahydro-1,4-Dimethyl Naphthalene",18,1.8,2.2
766,"1,2,3,4-Tetrahydro-2-Naphthol",19.2,5.5,10.3
767,"1,2,3,4-Tetrahydro-5-Methylnaphthalene",18.4,2.2,2.9
768,"1,2,3,4-Tetrahydro-6-Methylnaphthalene",18.4,2.2,2.9
769,"1,2,3,4-Tetrahydroquinoline",19.3,7.3,6.5
770,"1,2,3,4-Tetramethoxy-5-(2-Propenyl)-Benzene",18.7,5,6.3
771,"1,2,3,4-Tetramethylbenzene",18.8,0.5,0.5
772,"1,2,3,4-Tetramethylcyclohexane",15.9,0,0
773,"1,2,3,5-Tetrachlorobenzene",19.9,4.4,3.2
774,"1,2,3,5-Tetraethylbenzene",17,0.9,1.4
775,"1,2,3,5-Tetramethylbenzene",18.6,0.5,0.5
776,"1,2,3,6,7,8 Hexahydropyrene",19.4,2.2,3.6
777,"1,2,3,6,7,8-Hexachlorodibenzofuran",22.7,4.9,2.1
778,"1,2,3,6,7,8-Hexachlorodibenzo-p-Dioxin",23,5.5,3.8
779,"1,2,3,6,7,9-Hexachlorodibenzofuran",22.7,4.9,2.1
780,"1,2,3,7,8,9-Hexachlorodibenzo-p-Dioxin",23,5.5,3.8
781,"1,2,3,7,8-Pentachlorodibenzofuran",21.9,4.4,2.5
782,"1,2,3,7,8-Pentachlorodibenzo-p-Dioxin",22.2,5,4.2
783,"1,2,3-Benzotriazole",18.7,15.6,12.4
784,"1,2,3-Butanetriol",17.7,9.4,23.6
785,"1,2,3-Propanetriol 1-Acetate",17.3,9.2,19.8
786,"1,2,3-Triaminopropane",17.9,7.9,15.4
787,"1,2,3-Triazole",20.7,8.8,15
788,"1,2,3-Tribromo-2-Methylpropane",19,4.3,3.9
789,"1,2,3-Tribromobutane",19,5,6.7
790,"1,2,3-Tribromopropane",19.6,6.2,6.4
791,"1,2,3-Trichloro Propene",17.8,7.8,3.4
792,"1,2,3-Trichloro-2-Methylpropane",17.7,7.8,2.7
793,"1,2,3-Trichlorobenzene",19.6,5.4,3.7
794,"1,2,3-Trichlorobutane",17.5,6.6,2.7
795,"1,2,3-Trichloropentafluoropropane(CFC-215ba)",13.9,1.8,0.5
796,"1,2,3-Trichloropropane",17.8,12.3,3.4
797,"1,2,3-Triethylbenzene",17.2,2.3,2.2
798,"1,2,3-Trifluorobutane",15.1,4.2,2.7
799,"1,2,3-Trifluoropropane",15.7,7.2,2.7
800,"1,2,3-Trimethyl-4-Ethylbenzene",17.4,1.1,2.1
801,"1,2,3-Trimethyl-5-Ethylbenzene",17.4,1.1,2.1
802,"1,2,3-Trimethylbenzene",17.7,2.8,3.1
803,"1,2,3-Trimethylindene",18.2,1.5,3.3
804,"1,2,4,4,4-Pentachloropentafluorobutane",15.8,1.3,0.6
805,"1,2,4,5-Benzenetetacaboxylic Anhydide",22,20.5,10.3
806,"1,2,4,5-Tetrachloro-3,6-Dimethylbenzene",19.4,1.6,2.2
807,"1,2,4,5-Tetrachlorobenzene",21.2,10.7,3.4
808,"1,2,4,5-Tetraethylbenzene",17,0.9,1.4
809,"1,2,4,5-Tetramethylbenzene",17.5,1.2,2.4
810,"1,2,4,5-Tetrathiane",19.7,10.4,6
811,"1,2,4,6,7,9-Hexachlorodibenzofuran",22.7,4.9,2.1
812,"1,2,4-Benzenetricarboxylic Acid, Tris(2-Ethylhexyl) Ester",16.4,4.8,2.3
813,"1,2,4-Benzentricarboxilic Acid",20.3,9.8,17.1
814,"1,2,4-Butanetriol",17.9,11.4,24.8
815,"1,2,4-Triazole",20.1,16.3,13.7
816,"1,2,4-Tribromobenzene",20.4,7.5,5.2
817,"1,2,4-Tribromobutane",19.2,5.7,5.9
818,"1,2,4-Trichlorobenzene ",20.2,4.2,3.2
